Year,Value,UNIT_MEASURE,SERIES
2015,5.3,"Per 100,000 population",Death rate due to road traffic injuries [3.6.1]
2016,4.9,"Per 100,000 population",Death rate due to road traffic injuries [3.6.1]
2017,4.9,"Per 100,000 population",Death rate due to road traffic injuries [3.6.1]
2018,4.4,"Per 100,000 population",Death rate due to road traffic injuries [3.6.1]
2019,4.2,"Per 100,000 population",Death rate due to road traffic injuries [3.6.1]
2015,449.0,Number,Number of deaths rate due to road traffic injuries [3.6.1]
2016,427.0,Number,Number of deaths rate due to road traffic injuries [3.6.1]
2017,433.0,Number,Number of deaths rate due to road traffic injuries [3.6.1]
2018,395.0,Number,Number of deaths rate due to road traffic injuries [3.6.1]
2019,391.0,Number,Number of deaths rate due to road traffic injuries [3.6.1]
