Year,Value,UNIT_MEASURE,SERIES
2015,35.0,Number,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2016,20.0,Number,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2017,31.0,Number,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2018,12.0,Number,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2019,22.0,Number,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2020,8.0,Number,"Number of missing persons due to disaster [1.5.1, 11.5.1, 13.1.1]"
2015,0.41,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2016,0.23,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2017,0.35,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2018,0.13,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2019,0.24,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
2020,0.09,"Per 100,000 population","Number of deaths and missing persons attributed to disasters per 100,000 population [1.5.1, 11.5.1, 13.1.1]"
