Year,Value,UNIT_MEASURE,SERIES
2015,17,"Per 100,000 workers employed",Non-fatal occupational injuries among employees (rate) [8.8.1]
2016,15,"Per 100,000 workers employed",Non-fatal occupational injuries among employees (rate) [8.8.1]
2017,11,"Per 100,000 workers employed",Non-fatal occupational injuries among employees (rate) [8.8.1]
2018,21,"Per 100,000 workers employed",Non-fatal occupational injuries among employees (rate) [8.8.1]
2019,15,"Per 100,000 workers employed",Non-fatal occupational injuries among employees (rate) [8.8.1]
2015,6,"Per 100,000 workers employed",Fatal occupational injuries among employees (rate) [8.8.1]
2016,6,"Per 100,000 workers employed",Fatal occupational injuries among employees (rate) [8.8.1]
2017,2,"Per 100,000 workers employed",Fatal occupational injuries among employees (rate) [8.8.1]
2018,2,"Per 100,000 workers employed",Fatal occupational injuries among employees (rate) [8.8.1]
2019,3,"Per 100,000 workers employed",Fatal occupational injuries among employees (rate) [8.8.1]
