Year,SERIES,REF_AREA,OCCUPATION,ACTIVITY,UNIT_MEASURE,Value
2015,SL_EMP_FTLINJUR,,,,PER_100000_WKRS_EMP,6
2016,SL_EMP_FTLINJUR,,,,PER_100000_WKRS_EMP,6
2017,SL_EMP_FTLINJUR,,,,PER_100000_WKRS_EMP,2
2018,SL_EMP_FTLINJUR,,,,PER_100000_WKRS_EMP,2
2019,SL_EMP_FTLINJUR,,,,PER_100000_WKRS_EMP,3
2015,SL_EMP_INJUR,,,,PER_100000_WKRS_EMP,17
2016,SL_EMP_INJUR,,,,PER_100000_WKRS_EMP,15
2017,SL_EMP_INJUR,,,,PER_100000_WKRS_EMP,11
2018,SL_EMP_INJUR,,,,PER_100000_WKRS_EMP,21
2019,SL_EMP_INJUR,,,,PER_100000_WKRS_EMP,15
